inegi_entidad,entidad,inegi_municipio,municipio,id_delito,delito,carpetas,tasa,fecha
9,Ciudad de México,9016,Miguel Hidalgo,8000,Narcomenudeo,10,2.619124412536621,2023-08
9,Ciudad de México,9009,Milpa Alta,8000,Narcomenudeo,5,3.6035256385803223,2023-08
9,Ciudad de México,9002,Azcapotzalco,8000,Narcomenudeo,7,1.72506844997406,2023-08
9,Ciudad de México,9006,Iztacalco,8000,Narcomenudeo,10,2.5481536388397217,2023-08
9,Ciudad de México,9017,Venustiano Carranza,8000,Narcomenudeo,33,7.649885654449463,2023-08
9,Ciudad de México,9015,Cuauhtemoc,9000,Lesiones dolosas,46,8.356494903564453,2023-08
9,Ciudad de México,9012,Tlalpan,9000,Lesiones dolosas,25,3.6764652729034424,2023-08
9,Ciudad de México,9014,Benito Juarez,9000,Lesiones dolosas,19,4.302526473999023,2023-08
9,Ciudad de México,9002,Azcapotzalco,9000,Lesiones dolosas,8,1.9715068340301514,2023-08
9,Ciudad de México,9007,Iztapalapa,9000,Lesiones dolosas,47,2.626894474029541,2023-08
9,Ciudad de México,9013,Xochimilco,9000,Lesiones dolosas,18,4.3652448654174805,2023-08
9,Ciudad de México,9016,Miguel Hidalgo,9000,Lesiones dolosas,15,3.9286863803863525,2023-08
9,Ciudad de México,9011,Tlahuac,9000,Lesiones dolosas,8,2.2107996940612793,2023-08
9,Ciudad de México,9017,Venustiano Carranza,9000,Lesiones dolosas,24,5.563553333282471,2023-08
9,Ciudad de México,9006,Iztacalco,9000,Lesiones dolosas,15,3.822230577468872,2023-08
9,Ciudad de México,9003,Coyoacan,9000,Lesiones dolosas,31,5.012401580810547,2023-08
9,Ciudad de México,9008,La Magdalena Contreras,9000,Lesiones dolosas,16,6.569492816925049,2023-08
9,Ciudad de México,9009,Milpa Alta,9000,Lesiones dolosas,7,5.044936180114746,2023-08
9,Ciudad de México,9010,Alvaro Obregon,9000,Lesiones dolosas,20,2.656748056411743,2023-08
9,Ciudad de México,9004,Cuajimalpa De Morelos,9000,Lesiones dolosas,6,3.0124263763427734,2023-08
9,Ciudad de México,9005,Gustavo A. Madero,9000,Lesiones dolosas,38,3.253588914871216,2023-08
9,Ciudad de México,9002,Azcapotzalco,0,Total de delitos,845,208.2404022216797,2023-04
9,Ciudad de México,9010,Alvaro Obregon,0,Total de delitos,1227,162.9915008544922,2023-04
9,Ciudad de México,9009,Milpa Alta,0,Total de delitos,223,160.7172393798828,2023-04
9,Ciudad de México,9003,Coyoacan,0,Total de delitos,1368,221.1924285888672,2023-04
9,Ciudad de México,9016,Miguel Hidalgo,0,Total de delitos,1151,301.4612121582031,2023-04
9,Ciudad de México,9007,Iztapalapa,0,Total de delitos,2746,153.4777069091797,2023-04
9,Ciudad de México,9006,Iztacalco,0,Total de delitos,917,233.6656951904297,2023-04
9,Ciudad de México,9015,Cuauhtemoc,0,Total de delitos,2870,521.3726196289062,2023-04
9,Ciudad de México,9017,Venustiano Carranza,0,Total de delitos,1103,255.69163513183594,2023-04
9,Ciudad de México,9005,Gustavo A. Madero,0,Total de delitos,1923,164.6487274169922,2023-04
9,Ciudad de México,9013,Xochimilco,0,Total de delitos,660,160.05897521972656,2023-04
9,Ciudad de México,9011,Tlahuac,0,Total de delitos,664,183.4963836669922,2023-04
9,Ciudad de México,9012,Tlalpan,0,Total de delitos,1164,171.1762237548828,2023-04
9,Ciudad de México,9008,La Magdalena Contreras,0,Total de delitos,377,154.79367065429688,2023-04
9,Ciudad de México,9004,Cuajimalpa De Morelos,0,Total de delitos,327,164.17723083496094,2023-04
